"[run number]","1","1","1","2","2","2","3","3","3","4","4","4","5","5","5","6","6","6","7","7","7","8","8","8","9","9","9","10","10","10","11","11","11","12","12","12","13","13","13","14","14","14","15","15","15","16","16","16","17","17","17","18","18","18","19","19","19","20","20","20","21","21","21","22","22","22","23","23","23","24","24","24","25","25","25","26","26","26","27","27","27","28","28","28","29","29","29","30","30","30"
"max-cohere-turn","3",,,"3",,,"3",,,"3",,,"3",,,"3",,,"3",,,"3",,,"3",,,"3",,,"3",,,"3",,,"3",,,"3",,,"3",,,"3",,,"3",,,"3",,,"3",,,"3",,,"3",,,"3",,,"3",,,"3",,,"3",,,"3",,,"3",,,"3",,,"3",,,"3",,
"max-separate-turn","1.5",,,"1.5",,,"1.5",,,"1.5",,,"1.5",,,"1.5",,,"1.5",,,"1.5",,,"1.5",,,"1.5",,,"1.5",,,"1.5",,,"1.5",,,"1.5",,,"1.5",,,"1.5",,,"1.5",,,"1.5",,,"1.5",,,"1.5",,,"1.5",,,"1.5",,,"1.5",,,"1.5",,,"1.5",,,"1.5",,,"1.5",,,"1.5",,,"1.5",,,"1.5",,
"vision","5",,,"5",,,"5",,,"5",,,"5",,,"5",,,"5",,,"5",,,"5",,,"5",,,"5",,,"5",,,"5",,,"5",,,"5",,,"5",,,"5",,,"5",,,"5",,,"5",,,"5",,,"5",,,"5",,,"5",,,"5",,,"5",,,"5",,,"5",,,"5",,,"5",,
"minimum-separation","1",,,"1",,,"1",,,"1",,,"1",,,"1",,,"1",,,"1",,,"1",,,"1",,,"1",,,"1",,,"1",,,"1",,,"1",,,"1",,,"1",,,"1",,,"1",,,"1",,,"1",,,"1",,,"1",,,"1",,,"1",,,"1",,,"1",,,"1",,,"1",,,"1",,
"population","100",,,"100",,,"100",,,"100",,,"100",,,"100",,,"100",,,"100",,,"100",,,"100",,,"100",,,"100",,,"100",,,"100",,,"100",,,"100",,,"100",,,"100",,,"100",,,"100",,,"100",,,"100",,,"100",,,"100",,,"100",,,"100",,,"100",,,"100",,,"100",,,"100",,
"max-align-turn","5",,,"5",,,"5",,,"5",,,"5",,,"5",,,"5",,,"5",,,"5",,,"5",,,"5",,,"5",,,"5",,,"5",,,"5",,,"5",,,"5",,,"5",,,"5",,,"5",,,"5",,,"5",,,"5",,,"5",,,"5",,,"5",,,"5",,,"5",,,"5",,,"5",,
"[reporter]","get-num-flocks","get-mean-dir","get-mean-var","get-num-flocks","get-mean-dir","get-mean-var","get-num-flocks","get-mean-dir","get-mean-var","get-num-flocks","get-mean-dir","get-mean-var","get-num-flocks","get-mean-dir","get-mean-var","get-num-flocks","get-mean-dir","get-mean-var","get-num-flocks","get-mean-dir","get-mean-var","get-num-flocks","get-mean-dir","get-mean-var","get-num-flocks","get-mean-dir","get-mean-var","get-num-flocks","get-mean-dir","get-mean-var","get-num-flocks","get-mean-dir","get-mean-var","get-num-flocks","get-mean-dir","get-mean-var","get-num-flocks","get-mean-dir","get-mean-var","get-num-flocks","get-mean-dir","get-mean-var","get-num-flocks","get-mean-dir","get-mean-var","get-num-flocks","get-mean-dir","get-mean-var","get-num-flocks","get-mean-dir","get-mean-var","get-num-flocks","get-mean-dir","get-mean-var","get-num-flocks","get-mean-dir","get-mean-var","get-num-flocks","get-mean-dir","get-mean-var","get-num-flocks","get-mean-dir","get-mean-var","get-num-flocks","get-mean-dir","get-mean-var","get-num-flocks","get-mean-dir","get-mean-var","get-num-flocks","get-mean-dir","get-mean-var","get-num-flocks","get-mean-dir","get-mean-var","get-num-flocks","get-mean-dir","get-mean-var","get-num-flocks","get-mean-dir","get-mean-var","get-num-flocks","get-mean-dir","get-mean-var","get-num-flocks","get-mean-dir","get-mean-var","get-num-flocks","get-mean-dir","get-mean-var"
"[final]","28","137.07897010429517","6.240996783195467","29","109.61743373361946","6.96461273551397","23","41.66530405609859","45.15167990460754","26","119.31126756434792","7.612938194970048","27","110.7465403061933","8.614270934725079","25","298.6362077116443","5.764150571338039","22","147.7991940455291","6.462537095406836","25","49.28908930494542","7.2215145177079405","33","286.390383701366","21.154048992813944","32","195.7587093773005","74.63737176508926","29","330.6080472196726","7.233444280074305","38","64.51626147649782","6.678117053343188","30","99.80636653619732","7.424790502421963","30","224.98876905787318","8.791095212441524","26","249.53532804893572","7.552135533278385","31","232.50001521485697","6.209559651973722","28","288.88001390934846","58.57508957207156","23","286.0103049859037","6.622906969185832","31","120.39657326423661","5.474249228097561","25","327.36663928377334","29.032063817602836","32","159.3214936756457","8.603954772523915","28","199.9243485336395","7.67617626064162","22","163.78654123810392","6.279033818403227","28","148.21153673830216","62.95819825640372","26","321.46627257477434","75.23775859353374","30","256.33158287742754","8.768192274182908","31","107.07475707356156","9.476355952743983","28","293.6683748465063","8.194946528201417","30","47.69308285644152","5.263061934515953","24","141.86306029482392","6.400879062687478"
"[min]","1","0","0","1","0","0","1","0","0","1","0","0","1","0","0","1","0","0","1","0","0","1","0","0","1","0","0","1","0","0","1","0","0","1","0","0","1","0","0","1","0","0","1","0","0","1","0","0","1","0","0","1","0","0","1","0","0","1","0","0","1","0","0","1","0","0","1","0","0","1","0","0","1","0","0","1","0","0","1","0","0","1","0","0","1","0","0","1","0","0"
